契約番号,請求回,請求日,顧客コード,前受金金額,請求金額,消費税,前受金からの取崩金額,差引請求額,担当部署名,売上集計区分,契約月数,延長区分,契約期間
B21007500,51,2025/9/30,7635,0,12200,1220,0,13420,福岡支店,レンタル法人,60,新規,12ヶ月以上
B21007500,52,2025/10/31,7635,0,12200,1220,0,13420,福岡支店,レンタル法人,60,新規,12ヶ月以上
B21007500,53,2025/11/30,7635,0,12200,1220,0,13420,福岡支店,レンタル法人,60,新規,12ヶ月以上
B21007500,54,2025/12/31,7635,0,12200,1220,0,13420,福岡支店,レンタル法人,60,新規,12ヶ月以上
B21007500,55,2026/1/31,7635,0,12200,1220,0,13420,福岡支店,レンタル法人,60,新規,12ヶ月以上
B21007500,56,2026/2/28,7635,0,12200,1220,0,13420,福岡支店,レンタル法人,60,新規,12ヶ月以上
B21007500,57,2026/3/31,7635,0,12200,1220,0,13420,福岡支店,レンタル法人,60,新規,12ヶ月以上
B21007500,58,2026/4/30,7635,0,12200,1220,0,13420,福岡支店,レンタル法人,60,新規,12ヶ月以上
B21007500,59,2026/5/31,7635,0,12200,1220,0,13420,福岡支店,レンタル法人,60,新規,12ヶ月以上
B21007500,60,2026/6/30,7635,0,12200,1220,0,13420,福岡支店,レンタル法人,60,新規,12ヶ月以上
B22009831,40,2025/9/30,10357,0,35900,3590,0,39490,福岡支店,レンタル法人,60,新規,12ヶ月以上
B22009831,41,2025/10/31,10357,0,35900,3590,0,39490,福岡支店,レンタル法人,60,新規,12ヶ月以上
B22009831,42,2025/11/30,10357,0,35900,3590,0,39490,福岡支店,レンタル法人,60,新規,12ヶ月以上
B22009831,43,2025/12/31,10357,0,35900,3590,0,39490,福岡支店,レンタル法人,60,新規,12ヶ月以上
B22009831,44,2026/1/31,10357,0,35900,3590,0,39490,福岡支店,レンタル法人,60,新規,12ヶ月以上
B22009831,45,2026/2/28,10357,0,35900,3590,0,39490,福岡支店,レンタル法人,60,新規,12ヶ月以上
B22009831,46,2026/3/31,10357,0,35900,3590,0,39490,福岡支店,レンタル法人,60,新規,12ヶ月以上
B22009831,47,2026/4/30,10357,0,35900,3590,0,39490,福岡支店,レンタル法人,60,新規,12ヶ月以上
B22009831,48,2026/5/31,10357,0,35900,3590,0,39490,福岡支店,レンタル法人,60,新規,12ヶ月以上
B22009831,49,2026/6/30,10357,0,35900,3590,0,39490,福岡支店,レンタル法人,60,新規,12ヶ月以上
B22009831,50,2026/7/31,10357,0,35900,3590,0,39490,福岡支店,レンタル法人,60,新規,12ヶ月以上
B22009831,51,2026/8/31,10357,0,35900,3590,0,39490,福岡支店,レンタル法人,60,新規,12ヶ月以上
B22009991,40,2025/9/30,10336,0,3500,350,0,3850,福岡支店,レンタル法人,60,新規,12ヶ月以上
B22009991,41,2025/10/31,10336,0,3500,350,0,3850,福岡支店,レンタル法人,60,新規,12ヶ月以上
B22009991,42,2025/11/30,10336,0,3500,350,0,3850,福岡支店,レンタル法人,60,新規,12ヶ月以上
B22009991,43,2025/12/31,10336,0,3500,350,0,3850,福岡支店,レンタル法人,60,新規,12ヶ月以上
B22009991,44,2026/1/31,10336,0,3500,350,0,3850,福岡支店,レンタル法人,60,新規,12ヶ月以上
B22009991,45,2026/2/28,10336,0,3500,350,0,3850,福岡支店,レンタル法人,60,新規,12ヶ月以上
B22009991,46,2026/3/31,10336,0,3500,350,0,3850,福岡支店,レンタル法人,60,新規,12ヶ月以上
B22009991,47,2026/4/30,10336,0,3500,350,0,3850,福岡支店,レンタル法人,60,新規,12ヶ月以上
B22009991,48,2026/5/31,10336,0,3500,350,0,3850,福岡支店,レンタル法人,60,新規,12ヶ月以上
B22009991,49,2026/6/30,10336,0,3500,350,0,3850,福岡支店,レンタル法人,60,新規,12ヶ月以上
B22009991,50,2026/7/31,10336,0,3500,350,0,3850,福岡支店,レンタル法人,60,新規,12ヶ月以上
B22009991,51,2026/8/31,10336,0,3500,350,0,3850,福岡支店,レンタル法人,60,新規,12ヶ月以上
B22010233,40,2025/9/30,10470,0,3180,318,0,3498,福岡支店,レンタル法人,60,新規,12ヶ月以上
B22010233,41,2025/10/31,10470,0,3180,318,0,3498,福岡支店,レンタル法人,60,新規,12ヶ月以上
B22010233,42,2025/11/30,10470,0,3180,318,0,3498,福岡支店,レンタル法人,60,新規,12ヶ月以上
B22010233,43,2025/12/31,10470,0,3180,318,0,3498,福岡支店,レンタル法人,60,新規,12ヶ月以上
B22010233,44,2026/1/31,10470,0,3180,318,0,3498,福岡支店,レンタル法人,60,新規,12ヶ月以上
B22010233,45,2026/2/28,10470,0,3180,318,0,3498,福岡支店,レンタル法人,60,新規,12ヶ月以上
B22010233,46,2026/3/31,10470,0,3180,318,0,3498,福岡支店,レンタル法人,60,新規,12ヶ月以上
B22010233,47,2026/4/30,10470,0,3180,318,0,3498,福岡支店,レンタル法人,60,新規,12ヶ月以上
B22010233,48,2026/5/31,10470,0,3180,318,0,3498,福岡支店,レンタル法人,60,新規,12ヶ月以上
B22010233,49,2026/6/30,10470,0,3180,318,0,3498,福岡支店,レンタル法人,60,新規,12ヶ月以上
B22010233,50,2026/7/31,10470,0,3180,318,0,3498,福岡支店,レンタル法人,60,新規,12ヶ月以上
B22010233,51,2026/8/31,10470,0,3180,318,0,3498,福岡支店,レンタル法人,60,新規,12ヶ月以上
B22010245,39,2025/9/30,10482,0,62700,6270,0,68970,福岡支店,レンタル法人,60,新規,12ヶ月以上
B22010245,40,2025/10/31,10482,0,62700,6270,0,68970,福岡支店,レンタル法人,60,新規,12ヶ月以上
B22010245,41,2025/11/30,10482,0,62700,6270,0,68970,福岡支店,レンタル法人,60,新規,12ヶ月以上
B22010245,42,2025/12/31,10482,0,62700,6270,0,68970,福岡支店,レンタル法人,60,新規,12ヶ月以上
B22010245,43,2026/1/31,10482,0,62700,6270,0,68970,福岡支店,レンタル法人,60,新規,12ヶ月以上
B22010245,44,2026/2/28,10482,0,62700,6270,0,68970,福岡支店,レンタル法人,60,新規,12ヶ月以上
B22010245,45,2026/3/31,10482,0,62700,6270,0,68970,福岡支店,レンタル法人,60,新規,12ヶ月以上
B22010245,46,2026/4/30,10482,0,62700,6270,0,68970,福岡支店,レンタル法人,60,新規,12ヶ月以上
B22010245,47,2026/5/31,10482,0,62700,6270,0,68970,福岡支店,レンタル法人,60,新規,12ヶ月以上
B22010245,48,2026/6/30,10482,0,62700,6270,0,68970,福岡支店,レンタル法人,60,新規,12ヶ月以上
B22010245,49,2026/7/31,10482,0,62700,6270,0,68970,福岡支店,レンタル法人,60,新規,12ヶ月以上
B22010245,50,2026/8/31,10482,0,62700,6270,0,68970,福岡支店,レンタル法人,60,新規,12ヶ月以上
B22011546,39,2025/9/30,10595,0,7600,760,0,8360,福岡支店,レンタル法人,60,新規,12ヶ月以上
B22011546,40,2025/10/31,10595,0,7600,760,0,8360,福岡支店,レンタル法人,60,新規,12ヶ月以上
B22011546,41,2025/11/30,10595,0,7600,760,0,8360,福岡支店,レンタル法人,60,新規,12ヶ月以上
B22011546,42,2025/12/31,10595,0,7600,760,0,8360,福岡支店,レンタル法人,60,新規,12ヶ月以上
B22011546,43,2026/1/31,10595,0,7600,760,0,8360,福岡支店,レンタル法人,60,新規,12ヶ月以上
B22011546,44,2026/2/28,10595,0,7600,760,0,8360,福岡支店,レンタル法人,60,新規,12ヶ月以上
B22011546,45,2026/3/31,10595,0,7600,760,0,8360,福岡支店,レンタル法人,60,新規,12ヶ月以上
B22011546,46,2026/4/30,10595,0,7600,760,0,8360,福岡支店,レンタル法人,60,新規,12ヶ月以上
B22011546,47,2026/5/31,10595,0,7600,760,0,8360,福岡支店,レンタル法人,60,新規,12ヶ月以上
B22011546,48,2026/6/30,10595,0,7600,760,0,8360,福岡支店,レンタル法人,60,新規,12ヶ月以上
B22011546,49,2026/7/31,10595,0,7600,760,0,8360,福岡支店,レンタル法人,60,新規,12ヶ月以上
B22011546,50,2026/8/31,10595,0,7600,760,0,8360,福岡支店,レンタル法人,60,新規,12ヶ月以上
B22012349,38,2025/9/30,10713,0,7600,760,0,8360,福岡支店,レンタル法人,60,新規,12ヶ月以上
B22012349,39,2025/10/31,10713,0,7600,760,0,8360,福岡支店,レンタル法人,60,新規,12ヶ月以上
B22012349,40,2025/11/30,10713,0,7600,760,0,8360,福岡支店,レンタル法人,60,新規,12ヶ月以上
B22012349,41,2025/12/31,10713,0,7600,760,0,8360,福岡支店,レンタル法人,60,新規,12ヶ月以上
B22012349,42,2026/1/31,10713,0,7600,760,0,8360,福岡支店,レンタル法人,60,新規,12ヶ月以上
B22012349,43,2026/2/28,10713,0,7600,760,0,8360,福岡支店,レンタル法人,60,新規,12ヶ月以上
B22012349,44,2026/3/31,10713,0,7600,760,0,8360,福岡支店,レンタル法人,60,新規,12ヶ月以上
B22012349,45,2026/4/30,10713,0,7600,760,0,8360,福岡支店,レンタル法人,60,新規,12ヶ月以上
B22012349,46,2026/5/31,10713,0,7600,760,0,8360,福岡支店,レンタル法人,60,新規,12ヶ月以上
B22012349,47,2026/6/30,10713,0,7600,760,0,8360,福岡支店,レンタル法人,60,新規,12ヶ月以上
B22012349,48,2026/7/31,10713,0,7600,760,0,8360,福岡支店,レンタル法人,60,新規,12ヶ月以上
B22012349,49,2026/8/31,10713,0,7600,760,0,8360,福岡支店,レンタル法人,60,新規,12ヶ月以上
B22012946,38,2025/9/30,10816,0,7660,766,0,8426,福岡支店,レンタル法人,60,新規,12ヶ月以上
B22012946,39,2025/10/31,10816,0,7660,766,0,8426,福岡支店,レンタル法人,60,新規,12ヶ月以上
B22012946,40,2025/11/30,10816,0,7660,766,0,8426,福岡支店,レンタル法人,60,新規,12ヶ月以上
B22012946,41,2025/12/31,10816,0,7660,766,0,8426,福岡支店,レンタル法人,60,新規,12ヶ月以上
B22012946,42,2026/1/31,10816,0,7660,766,0,8426,福岡支店,レンタル法人,60,新規,12ヶ月以上
B22012946,43,2026/2/28,10816,0,7660,766,0,8426,福岡支店,レンタル法人,60,新規,12ヶ月以上
B22012946,44,2026/3/31,10816,0,7660,766,0,8426,福岡支店,レンタル法人,60,新規,12ヶ月以上
B22012946,45,2026/4/30,10816,0,7660,766,0,8426,福岡支店,レンタル法人,60,新規,12ヶ月以上
B22012946,46,2026/5/31,10816,0,7660,766,0,8426,福岡支店,レンタル法人,60,新規,12ヶ月以上
B22012946,47,2026/6/30,10816,0,7660,766,0,8426,福岡支店,レンタル法人,60,新規,12ヶ月以上
B22012946,48,2026/7/31,10816,0,7660,766,0,8426,福岡支店,レンタル法人,60,新規,12ヶ月以上
B22012946,49,2026/8/31,10816,0,7660,766,0,8426,福岡支店,レンタル法人,60,新規,12ヶ月以上
B22013446,37,2025/9/30,10843,0,7660,766,0,8426,福岡支店,レンタル法人,60,新規,12ヶ月以上
B22013446,38,2025/10/31,10843,0,7660,766,0,8426,福岡支店,レンタル法人,60,新規,12ヶ月以上
B22013446,39,2025/11/30,10843,0,7660,766,0,8426,福岡支店,レンタル法人,60,新規,12ヶ月以上
B22013446,40,2025/12/31,10843,0,7660,766,0,8426,福岡支店,レンタル法人,60,新規,12ヶ月以上
B22013446,41,2026/1/31,10843,0,7660,766,0,8426,福岡支店,レンタル法人,60,新規,12ヶ月以上
B22013446,42,2026/2/28,10843,0,7660,766,0,8426,福岡支店,レンタル法人,60,新規,12ヶ月以上
B22013446,43,2026/3/31,10843,0,7660,766,0,8426,福岡支店,レンタル法人,60,新規,12ヶ月以上
B22013446,44,2026/4/30,10843,0,7660,766,0,8426,福岡支店,レンタル法人,60,新規,12ヶ月以上
B22013446,45,2026/5/31,10843,0,7660,766,0,8426,福岡支店,レンタル法人,60,新規,12ヶ月以上
B22013446,46,2026/6/30,10843,0,7660,766,0,8426,福岡支店,レンタル法人,60,新規,12ヶ月以上
B22013446,47,2026/7/31,10843,0,7660,766,0,8426,福岡支店,レンタル法人,60,新規,12ヶ月以上
B22013446,48,2026/8/31,10843,0,7660,766,0,8426,福岡支店,レンタル法人,60,新規,12ヶ月以上
B22013851,38,2025/9/30,10911,0,31635,3163,0,34798,福岡支店,レンタル法人,60,新規,12ヶ月以上
B22013851,39,2025/10/31,10911,0,31635,3163,0,34798,福岡支店,レンタル法人,60,新規,12ヶ月以上
B22013851,40,2025/11/30,10911,0,31635,3163,0,34798,福岡支店,レンタル法人,60,新規,12ヶ月以上
B22013851,41,2025/12/31,10911,0,31635,3163,0,34798,福岡支店,レンタル法人,60,新規,12ヶ月以上
B22013851,42,2026/1/31,10911,0,31635,3163,0,34798,福岡支店,レンタル法人,60,新規,12ヶ月以上
B22013851,43,2026/2/28,10911,0,31635,3163,0,34798,福岡支店,レンタル法人,60,新規,12ヶ月以上
B22013851,44,2026/3/31,10911,0,31635,3163,0,34798,福岡支店,レンタル法人,60,新規,12ヶ月以上
B22013851,45,2026/4/30,10911,0,31635,3163,0,34798,福岡支店,レンタル法人,60,新規,12ヶ月以上
B22013851,46,2026/5/31,10911,0,31635,3163,0,34798,福岡支店,レンタル法人,60,新規,12ヶ月以上
B22013851,47,2026/6/30,10911,0,31635,3163,0,34798,福岡支店,レンタル法人,60,新規,12ヶ月以上
B22013851,48,2026/7/31,10911,0,31635,3163,0,34798,福岡支店,レンタル法人,60,新規,12ヶ月以上
B22013851,49,2026/8/31,10911,0,31635,3163,0,34798,福岡支店,レンタル法人,60,新規,12ヶ月以上
B22013852,37,2025/9/30,10909,0,7660,766,0,8426,福岡支店,レンタル法人,60,新規,12ヶ月以上
B22013852,38,2025/10/31,10909,0,7660,766,0,8426,福岡支店,レンタル法人,60,新規,12ヶ月以上
B22013852,39,2025/11/30,10909,0,7660,766,0,8426,福岡支店,レンタル法人,60,新規,12ヶ月以上
B22013852,40,2025/12/31,10909,0,7660,766,0,8426,福岡支店,レンタル法人,60,新規,12ヶ月以上
B22013852,41,2026/1/31,10909,0,7660,766,0,8426,福岡支店,レンタル法人,60,新規,12ヶ月以上
B22013852,42,2026/2/28,10909,0,7660,766,0,8426,福岡支店,レンタル法人,60,新規,12ヶ月以上
B22013852,43,2026/3/31,10909,0,7660,766,0,8426,福岡支店,レンタル法人,60,新規,12ヶ月以上
B22013852,44,2026/4/30,10909,0,7660,766,0,8426,福岡支店,レンタル法人,60,新規,12ヶ月以上
B22013852,45,2026/5/31,10909,0,7660,766,0,8426,福岡支店,レンタル法人,60,新規,12ヶ月以上
B22013852,46,2026/6/30,10909,0,7660,766,0,8426,福岡支店,レンタル法人,60,新規,12ヶ月以上
B22013852,47,2026/7/31,10909,0,7660,766,0,8426,福岡支店,レンタル法人,60,新規,12ヶ月以上
B22013852,48,2026/8/31,10909,0,7660,766,0,8426,福岡支店,レンタル法人,60,新規,12ヶ月以上
B22014350,38,2025/9/30,10982,0,13500,1350,0,14850,福岡支店,レンタル法人,60,新規,12ヶ月以上
B22014350,39,2025/10/31,10982,0,13500,1350,0,14850,福岡支店,レンタル法人,60,新規,12ヶ月以上
B22014350,40,2025/11/30,10982,0,13500,1350,0,14850,福岡支店,レンタル法人,60,新規,12ヶ月以上
B22014350,41,2025/12/31,10982,0,13500,1350,0,14850,福岡支店,レンタル法人,60,新規,12ヶ月以上
B22014350,42,2026/1/31,10982,0,13500,1350,0,14850,福岡支店,レンタル法人,60,新規,12ヶ月以上
B22014350,43,2026/2/28,10982,0,13500,1350,0,14850,福岡支店,レンタル法人,60,新規,12ヶ月以上
B22014350,44,2026/3/31,10982,0,13500,1350,0,14850,福岡支店,レンタル法人,60,新規,12ヶ月以上
B22014350,45,2026/4/30,10982,0,13500,1350,0,14850,福岡支店,レンタル法人,60,新規,12ヶ月以上
B22014350,46,2026/5/31,10982,0,13500,1350,0,14850,福岡支店,レンタル法人,60,新規,12ヶ月以上
B22014350,47,2026/6/30,10982,0,13500,1350,0,14850,福岡支店,レンタル法人,60,新規,12ヶ月以上
B22014350,48,2026/7/31,10982,0,13500,1350,0,14850,福岡支店,レンタル法人,60,新規,12ヶ月以上
B22014350,49,2026/8/31,10982,0,13500,1350,0,14850,福岡支店,レンタル法人,60,新規,12ヶ月以上
B22014356,37,2025/9/30,11004,0,35909,3590,0,39499,福岡支店,レンタル法人,60,新規,12ヶ月以上
B22014356,38,2025/10/31,11004,0,35909,3590,0,39499,福岡支店,レンタル法人,60,新規,12ヶ月以上
B22014356,39,2025/11/30,11004,0,35909,3590,0,39499,福岡支店,レンタル法人,60,新規,12ヶ月以上
B22014356,40,2025/12/31,11004,0,35909,3590,0,39499,福岡支店,レンタル法人,60,新規,12ヶ月以上
B22014356,41,2026/1/31,11004,0,35909,3590,0,39499,福岡支店,レンタル法人,60,新規,12ヶ月以上
B22014356,42,2026/2/28,11004,0,35909,3590,0,39499,福岡支店,レンタル法人,60,新規,12ヶ月以上
B22014356,43,2026/3/31,11004,0,35909,3590,0,39499,福岡支店,レンタル法人,60,新規,12ヶ月以上
B22014356,44,2026/4/30,11004,0,35909,3590,0,39499,福岡支店,レンタル法人,60,新規,12ヶ月以上
B22014356,45,2026/5/31,11004,0,35909,3590,0,39499,福岡支店,レンタル法人,60,新規,12ヶ月以上
